City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,9.34,71,33,6.97,NZ,1723054907
1,vadso,70.0744,29.7487,24.49,55,0,4.12,NO,1723054908
2,albany,42.6001,-73.9662,24.24,69,89,0.45,US,1723054697
3,yulinshi,38.2906,109.7494,21.37,81,78,3.69,CN,1723054911
4,adamstown,-25.066,-130.1015,18.64,66,15,3.88,PN,1723054912
5,jackson,42.4165,-122.8345,27.08,29,0,0.0,US,1723054267
6,klyuchi,52.2667,79.1667,18.48,87,100,3.79,RU,1723054914
7,ilawa,53.596,19.5685,22.17,64,37,0.98,PL,1723054915
8,ribeira grande,38.5167,-28.7,26.22,65,20,4.92,PT,1723054916
9,constantia,44.1833,28.65,20.39,67,42,2.81,RO,1723054815
10,jiangyou,31.7667,104.7167,25.05,87,100,1.74,CN,1723054918
11,antalaha,-14.9003,50.2788,19.49,76,11,3.62,MG,1723054919
12,bredasdorp,-34.5322,20.0403,10.57,94,3,2.44,ZA,1723054921
13,blackmans bay,-43.0167,147.3167,9.07,80,99,0.45,AU,1723054922
14,trincomalee,8.5711,81.2335,27.48,81,66,4.48,LK,1723054923
15,namibe,-15.1961,12.1522,17.05,90,24,5.51,AO,1723054924
16,wailua homesteads,22.0669,-159.378,27.24,73,0,5.66,US,1723054925
17,yellowknife,62.456,-114.3525,20.79,49,75,5.66,CA,1723054926
18,ushuaia,-54.8,-68.3,2.79,64,0,1.03,AR,1723054679
19,yel'nya,54.5786,33.1837,15.07,92,100,0.69,RU,1723054928
20,kotel'nich,58.3089,48.348,15.89,82,100,3.31,RU,1723054929
21,kailua-kona,19.6406,-155.9956,27.0,79,40,0.0,US,1723054931
22,ghat,24.9647,10.1728,37.26,9,3,6.25,LY,1723054932
23,bethel,41.3712,-73.414,19.2,88,100,3.09,US,1723054774
24,grytviken,-54.2811,-36.5092,-3.81,71,66,5.59,GS,1723054934
25,natal,-5.795,-35.2094,28.36,69,40,10.29,BR,1723054719
26,utrik,11.2278,169.8474,28.33,76,100,6.38,MH,1723054936
27,uturoa,-16.7333,-151.4333,25.92,79,7,4.82,PF,1723054937
28,lihue,21.9789,-159.3672,27.58,73,0,5.66,US,1723054938
29,holualoa,19.6228,-155.9522,24.93,78,40,0.0,US,1723054940
30,margate,51.3813,1.3862,19.39,65,100,0.45,GB,1723054726
31,hamilton,39.1834,-84.5333,30.13,65,40,3.6,US,1723054702
32,puerto ayora,-0.7393,-90.3518,24.98,91,65,4.02,EC,1723054943
33,qaqortoq,60.7167,-46.0333,8.23,94,100,2.66,GL,1723054944
34,stanley,54.868,-1.6985,16.82,70,20,6.17,GB,1723054945
35,khamgaon,20.6833,76.5667,25.33,83,100,5.72,IN,1723054946
36,bilibino,68.0546,166.4372,4.41,72,0,1.96,RU,1723054947
37,gadzhiyevo,69.2551,33.3362,15.84,60,11,1.32,RU,1723054948
38,college,64.8569,-147.8028,21.06,58,75,1.54,US,1723054950
39,sinan,34.8262,126.1086,27.06,86,5,2.08,KR,1723054951
40,tiksi,71.6872,128.8694,5.18,99,71,0.58,RU,1723054953
41,awjilah,29.1081,21.2869,35.35,20,0,4.21,LY,1723054954
42,chiang kham,19.5233,100.3,23.38,95,99,1.99,TH,1723054955
43,kodiak,57.79,-152.4072,13.73,94,0,1.54,US,1723054957
44,edinburgh of the seven seas,-37.0676,-12.3116,8.19,65,97,14.64,SH,1723054958
45,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,40,1.0,RU,1723054960
46,port-aux-francais,-49.35,70.2167,1.15,99,100,11.61,TF,1723054962
47,lae,-6.7221,146.9847,23.15,90,100,2.42,PG,1723054963
48,gelendzhik,44.5731,38.0747,22.46,66,13,1.6,RU,1723054802
49,afaahiti,-17.75,-149.2833,24.93,85,19,7.4,PF,1723054965
50,papatowai,-46.5619,169.4708,7.15,90,100,4.32,NZ,1723054966
51,najafgarh,28.6123,76.9824,27.06,94,100,0.0,IN,1723054967
52,mcgregor,26.5609,-81.9145,33.37,75,75,7.2,US,1723054968
53,hithadhoo,-0.6,73.0833,28.97,68,100,1.34,MV,1723054969
54,puerto natales,-51.7236,-72.4875,1.25,75,0,3.09,CL,1723054971
55,jobabo,20.9692,-76.2994,34.01,41,98,4.87,CU,1723054972
56,prince rupert,54.3161,-130.3201,12.83,100,100,1.54,CA,1723054973
57,aykhal,66.0,111.5,12.01,57,65,3.63,RU,1723054974
58,ziway,7.9333,38.7167,19.16,80,42,6.63,ET,1723054975
59,port alfred,-33.5906,26.891,17.97,52,97,2.88,ZA,1723054976
60,hawaiian paradise park,19.5933,-154.9731,26.61,81,75,1.54,US,1723054977
61,olonkinbyen,70.9221,-8.7187,6.07,100,100,5.2,SJ,1723054978
62,tres arroyos,-38.3739,-60.2798,7.79,95,100,7.59,AR,1723054979
63,iskateley,67.6803,53.1512,7.31,86,8,3.84,RU,1723054980
64,punta arenas,-53.15,-70.9167,2.06,87,0,4.63,CL,1723054982
65,isafjordur,66.0755,-23.124,7.26,86,92,3.4,IS,1723054983
66,ilulissat,69.2167,-51.1,5.01,93,100,2.06,GL,1723054984
67,wauseon,41.5492,-84.1416,24.28,67,100,4.63,US,1723054985
68,tazovsky,67.4667,78.7,9.63,72,100,6.03,RU,1723054987
69,margaret river,-33.95,115.0667,13.3,65,27,5.08,AU,1723054988
70,laguna,38.421,-121.4238,37.32,35,2,0.89,US,1723054808
71,port mathurin,-19.6833,63.4167,22.48,73,12,4.62,MU,1723054990
72,iqaluit,63.7506,-68.5145,9.85,71,40,2.57,CA,1723054991
73,lebu,-37.6167,-73.65,9.55,62,0,5.63,CL,1723054993
74,universal city,34.1389,-118.3534,31.9,57,0,4.12,US,1723054994
75,al ghayzah,16.2079,52.176,25.16,88,85,7.64,YE,1723054995
76,ballito,-29.539,31.2144,20.08,77,0,5.14,ZA,1723054996
77,camabatela,-8.1881,15.375,22.54,40,89,2.17,AO,1723054997
78,christchurch,-43.5333,172.6333,10.51,66,100,8.05,NZ,1723054837
79,touros,-5.1989,-35.4608,27.31,68,35,8.72,BR,1723054999
80,nikolayevsk-on-amure,53.1406,140.73,12.79,98,96,1.32,RU,1723055000
81,faya-largeau,17.9257,19.1043,36.46,33,100,3.93,TD,1723055001
82,jaisalmer,26.9147,70.9181,28.89,69,91,8.82,IN,1723054935
83,ust-nera,64.5667,143.2,10.72,94,100,1.27,RU,1723055004
84,homer,59.6425,-151.5483,15.58,78,100,4.12,US,1723055005
85,lincheng,19.9078,109.6858,27.72,79,2,1.73,CN,1723055006
86,ipubi,-7.6519,-40.1489,29.13,37,76,3.42,BR,1723055007
87,riachao das neves,-11.7461,-44.91,31.69,19,1,2.74,BR,1723055008
88,taltal,-25.4,-70.4833,15.93,66,1,3.77,CL,1723055009
89,jamestown,42.097,-79.2353,24.75,62,100,4.12,US,1723055010
90,kavieng,-2.5744,150.7967,27.7,76,60,5.85,PG,1723055011
91,isangel,-19.55,169.2667,20.16,69,60,4.95,VU,1723055012
92,rio grande,-32.035,-52.0986,19.06,92,100,4.59,BR,1723055014
93,dunedin,-45.8742,170.5036,8.25,75,100,1.65,NZ,1723055015
94,georgetown,5.4112,100.3354,27.96,75,20,2.06,MY,1723054810
95,thompson,55.7435,-97.8558,14.09,72,75,4.63,CA,1723055017
96,luang prabang,19.8856,102.1347,23.36,96,42,0.88,LA,1723055018
97,baldwin harbor,40.6395,-73.6085,19.58,93,100,4.63,US,1723055019
98,dryden,49.7833,-92.7503,18.16,88,75,5.14,CA,1723055020
99,port lincoln,-34.7333,135.8667,13.71,56,80,9.91,AU,1723055021
100,taber,49.8167,-112.1518,18.0,72,100,2.06,CA,1723054888
101,colonia,50.9333,6.95,23.31,64,20,1.03,DE,1723055023
102,bandipura,34.4167,74.65,20.17,87,18,2.19,IN,1723055025
103,senanga,-16.1167,23.2667,21.09,15,0,1.96,ZM,1723055026
104,prado,-17.3411,-39.2208,24.96,59,46,3.17,BR,1723055027
105,mount gambier,-37.8333,140.7667,11.27,58,100,5.42,AU,1723055028
106,anadyr,64.75,177.4833,7.28,75,75,2.0,RU,1723055029
107,kyren,51.6828,102.1408,13.18,89,67,1.05,RU,1723055030
108,hengyang,26.8881,112.615,28.38,72,9,2.1,CN,1723055031
109,manta,-0.95,-80.7333,27.88,65,40,6.17,EC,1723055032
110,west island,-12.1568,96.8225,26.99,74,84,6.69,CC,1723055033
111,dudinka,69.4058,86.1778,10.05,61,1,7.64,RU,1723055034
